idx,step,txn_user,txn_receiver,amount,type,isFraud,ring_score_7d,ring_score_30d,delta_score,confidence
2,1,93f0e0a7,4c28f12a,181.0,TRANSFER,1,0.7667226075477056,0.7667226075477056,0.0,0.6538461538461539
3,1,34a01a4c,84dd08ef,181.0,CASH_OUT,1,0.7721761523034925,0.7721761523034925,0.0,0.6692307692307693
15,1,63605bf2,95771a59,229133.9375,CASH_OUT,0,0.7606560220191948,0.7606560220191948,0.0,0.6384615384615384
19,1,c3a576e3,58b1a8c6,215310.296875,TRANSFER,0,0.7837507712869746,0.7837507712869746,0.0,0.7076923076923077
24,1,89abb3f6,53474875,311685.875,TRANSFER,0,0.8102691656064758,0.8102691656064758,0.0,0.8384615384615385
42,1,7a07f813,ad2a2420,110414.7109375,CASH_OUT,0,0.7637735776332538,0.7637735776332538,0.0,0.6461538461538462
47,1,ed095b9b,d1493c23,56953.8984375,CASH_OUT,0,0.781634510851948,0.781634510851948,0.0,0.7
48,1,32e088de,aaef0d74,5346.89013671875,CASH_OUT,0,0.9170706359402124,0.8905384699121781,0.02653216602803432,0.9692307692307692
51,1,ab2876ad,e44d9823,23261.30078125,CASH_OUT,0,0.781634510851948,0.781634510851948,0.0,0.7
58,1,df29bc96,1a84bf10,62610.80078125,TRANSFER,0,0.7995838559091841,0.7995838559091841,0.0,0.7769230769230769
60,1,c8e965e6,35f85435,82940.3125,CASH_OUT,0,0.7877345973905113,0.7877345973905113,0.0,0.7230769230769231
70,1,a819d7f5,a8c4adaf,47458.859375,CASH_OUT,0,0.7980588125063869,0.7980588125063869,0.0,0.7692307692307692
71,1,6732966a,f68a9d96,136872.921875,CASH_OUT,0,0.7265888867511967,0.7265888867511967,0.0,0.5769230769230769
72,1,ec45525b,acc0646f,94253.328125,CASH_OUT,0,0.9056347902028618,0.8773373902017353,0.02829740000112646,0.8923076923076922
78,1,b7548f7c,7bb47397,42712.390625,TRANSFER,0,0.7538392351238842,0.7538392351238842,0.0,0.6230769230769231
79,1,c55e1c5e,7493da59,77957.6796875,TRANSFER,0,0.7667226075477056,0.7667226075477056,0.0,0.6538461538461539
80,1,1c0f4c69,2ab4b5db,17231.4609375,TRANSFER,0,0.7721761523034925,0.7721761523034925,0.0,0.6692307692307693
81,1,d969d2bc,f0bfd452,78766.03125,TRANSFER,0,0.7771201496744762,0.7771201496744762,0.0,0.6846153846153846
82,1,cb880756,f68a9d96,224606.640625,TRANSFER,0,0.7265888867511967,0.7265888867511967,0.0,0.5769230769230769
83,1,f4c58e15,c70196a2,125872.53125,TRANSFER,0,0.9146526835252926,0.8877274398751002,0.026925243650192443,0.8846153846153846
84,1,821a3a57,e79e7cd2,379856.21875,TRANSFER,0,0.9306152534298815,0.9065015722150336,0.024113681214847915,0.9230769230769231
85,1,f4aa42be,33565c1d,1505626.0,TRANSFER,0,0.9089936169765942,0.8811904918806477,0.027803125095946513,0.976923076923077
86,1,ed9340d1,f68a9d96,554027.0,TRANSFER,0,0.7265888867511967,0.7265888867511967,0.0,0.5769230769230769
87,1,c0a6bb5f,2d6fe481,147543.09375,TRANSFER,0,0.7538392351238842,0.7538392351238842,0.0,0.6230769230769231
88,1,2bc6c934,e79e7cd2,761507.375,TRANSFER,0,0.9306152534298815,0.9065015722150336,0.024113681214847915,0.9230769230769231
89,1,a98e5e8f,e79e7cd2,1429051.5,TRANSFER,0,0.9306152534298815,0.9065015722150336,0.024113681214847915,0.9230769230769231
90,1,d479dfde,c70196a2,358831.90625,TRANSFER,0,0.9146526835252926,0.8877274398751002,0.026925243650192443,0.8846153846153846
91,1,1a63509c,2d6fe481,367768.40625,TRANSFER,0,0.7538392351238842,0.7538392351238842,0.0,0.6230769230769231
92,1,3d04b953,ad2a2420,209711.109375,TRANSFER,0,0.7637735776332538,0.7637735776332538,0.0,0.6461538461538462
93,1,ad12c9d3,d07cdb7e,583848.4375,TRANSFER,0,0.9146526835252926,0.8877274398751002,0.026925243650192443,1.0
94,1,2c4af2c7,e79e7cd2,1724887.0,TRANSFER,0,0.9306152534298815,0.9065015722150336,0.024113681214847915,0.9230769230769231
95,1,25d7edaa,2d6fe481,710544.75,TRANSFER,0,0.7538392351238842,0.7538392351238842,0.0,0.6230769230769231
