idx,ml_score,isolation_forest_score,lof_score,ocsvm_score,anomaly_detected
1951391,0.04134216816665513,0.05522061572321568,0.03332007817940291,0.018679184256132086,0
1818603,0.13882430996941822,0.24655212847736163,0.042781490566175306,0.013568992804424007,0
2714440,0.19954861310032543,0.34748960489178315,0.019271977122925856,0.10011108758778048,0
1313572,0.0378969024798112,0.042278213375153806,0.030188631723375763,0.038506031376107835,0
1435989,0.042312552234702525,0.05943729002015219,0.025500575170607956,0.02471867336722021,0
5383,0.2168938437975911,0.3282894051862498,0.06890532609534475,0.1603877168793138,0
2452601,0.20721340734552296,0.3684730143914523,0.03706911677931172,0.05928082558001643,0
1679819,0.05996444980527402,0.07779100950408169,0.03315116260818897,0.05561798135388242,0
1621266,0.05809409411799351,0.07679223216883091,0.04709290071967759,0.027850539088373902,0
1454903,0.0409812005378839,0.05368138434272063,0.035794464457870274,0.01701084514581253,0
957572,0.13173724351870642,0.22530529964942403,0.018300493243711014,0.06797222860440544,0
1514879,0.023386469224961272,0.017073892526688783,0.021103986310277885,0.042591635342667564,0
964719,0.11305379833711046,0.19563495539576936,0.02481009536967491,0.03896646014161656,0
702195,0.20641153028796783,0.356769829982747,0.057772990977520845,0.05347359001669049,0
252423,0.1853446728835134,0.29397423858850213,0.03256141720000719,0.14294564214630084,0
582195,0.05438830588667126,0.0542906744019247,0.03306832960456355,0.0866123490216992,0
184009,0.17252853537189788,0.2680410645220921,0.02419111676270281,0.15625334041020492,0
2141060,0.07863501345175665,0.14572789947389153,0.016903290286123952,0.0035003831448684776,0
332048,0.11651998300912011,0.14181470727312118,0.06391226229154823,0.13219475342547526,0
1485768,0.02675527626173173,0.024412114208664293,0.032533140792040144,0.02394638459893772,0
873757,0.07504225570401177,0.11287572214151265,0.025449601098725242,0.054847571518189364,0
1173818,0.03715823705028432,0.03662106862647718,0.020961035485677838,0.0627969604567119,0
2501370,0.24567097824084178,0.42548576745262645,0.05370294834539556,0.08408605005454942,0
635072,0.07651417513089001,0.09274183833160998,0.02287845310299815,0.11639860017092786,0
803527,0.04805407652124749,0.03856137698843953,0.03717818191078925,0.08809966726895477,0
234019,0.14818853993003187,0.19907979356965766,0.033276577559016425,0.19332834938749052,0
