idx,model_if,model_svm,ml_score,ml_supervised,shap_top_features
0,0.0,0.0,0.0,0.0037697416,"idx,amount,step,type_PAYMENT,nameDest_M5"
1,0.49846262573372546,0.9982392456589203,0.6699795310314525,0.012655341,"idx,amount,step,type_PAYMENT,nameDest_M5"
2,0.8969364403138653,0.9979176801825026,0.9349294255634578,0.40363523,"idx,amount,step,type_PAYMENT,nameDest_M5"
3,0.4032202563571043,0.9983935731052053,0.6294950420377216,0.021413717,"idx,amount,step,type_PAYMENT,nameDest_M5"
4,0.640786519300217,0.9982286421381068,0.753514727722075,0.102363825,"idx,amount,step,type_PAYMENT,nameDest_M5"
5,0.3952757765092141,0.9982445970494725,0.632592190386889,0.051479466,"idx,amount,step,type_PAYMENT,nameDest_M5"
6,1.0,0.9981826313766813,0.8971368832675441,0.027623571,"idx,amount,step,type_PAYMENT,nameDest_M5"
7,0.4748893169744766,0.9980715208901463,0.7439578318536211,0.39164644,"idx,amount,step,type_PAYMENT,nameDest_M5"
8,0.35605448649630334,0.998116038873882,0.6039555504384215,0.001853631,"idx,amount,step,type_PAYMENT,nameDest_M5"
9,0.3113621739414896,0.9998696566665475,0.5968320928910827,0.055809624,"idx,amount,step,type_PAYMENT,nameDest_M5"
10,0.7992216100859377,0.9979016426041586,0.8886355480440836,0.39164644,"idx,amount,step,type_PAYMENT,nameDest_M5"
11,0.6034612034356149,0.9995797388484419,0.921831339566073,0.9285669,"idx,amount,step,type_PAYMENT,nameDest_M5"
12,0.47355923555698176,0.9979319898331945,0.860015990831623,0.91466147,"idx,amount,step,type_PAYMENT,nameDest_M5"
13,0.5126422209333742,0.9981372079083971,0.6926700337433771,0.08618013,"idx,amount,step,type_PAYMENT,nameDest_M5"
14,0.5104818299494757,0.9995143992547885,0.6833133484316214,0.04581767,"idx,amount,step,type_PAYMENT,nameDest_M5"
15,0.5771876673197657,0.9987216307016881,0.9096621944717849,0.92829823,"idx,amount,step,type_PAYMENT,nameDest_M5"
16,0.725196371867255,0.9981782301481316,0.7749467717158472,0.029685486,"idx,amount,step,type_PAYMENT,nameDest_M5"
17,0.44240646729469185,0.9999752368102066,0.8576457968939784,0.9622593,"idx,amount,step,type_PAYMENT,nameDest_M5"
18,0.8052813676352987,0.9981675581890096,1.0,0.87803763,"idx,amount,step,type_PAYMENT,nameDest_M5"
19,0.5210789586426088,0.9997173296557599,0.6809467115144113,0.01361226,"idx,amount,step,type_PAYMENT,nameDest_M5"
20,0.2491772311948852,0.9412536214599895,0.5794252403223848,0.21940859,"idx,amount,step,type_PAYMENT,nameDest_M5"
21,0.39212883965493883,0.9980664266487362,0.6246244461698628,0.022424897,"idx,amount,step,type_PAYMENT,nameDest_M5"
22,0.6907410121434227,0.9980837214423642,0.7787429221962423,0.1157964,"idx,amount,step,type_PAYMENT,nameDest_M5"
23,0.17668304409305735,0.9991547058553713,0.5510076307790565,0.12125078,"idx,amount,step,type_PAYMENT,nameDest_M5"
24,0.46569026196870567,0.9999240877711089,0.6650744788561527,0.05285003,"idx,amount,step,type_PAYMENT,nameDest_M5"
25,0.45901799881857175,0.9993100161612304,0.6558797586322226,0.026219636,"idx,amount,step,type_PAYMENT,nameDest_M5"
26,0.6913753907786663,0.9979711827729308,0.9117933487812437,0.71097374,"idx,amount,step,type_PAYMENT,nameDest_M5"
27,0.5404763032622936,0.9981085228125235,0.7412084019630695,0.24807781,"idx,amount,step,type_PAYMENT,nameDest_M5"
28,0.4217661302668774,0.998105131114843,0.6986937048505425,0.29498953,"idx,amount,step,type_PAYMENT,nameDest_M5"
29,0.5031778149895594,0.9979915907407222,0.6809431424163445,0.05285003,"idx,amount,step,type_PAYMENT,nameDest_M5"
30,0.55731205830164,0.9980566769192313,0.6937044595143389,0.0016369505,"idx,amount,step,type_PAYMENT,nameDest_M5"
